"date","recreation_goods"
"1947-03-31","2.809"
"1947-06-30","2.913"
"1947-09-30","3.022"
"1947-12-31","3.137"
"1948-03-31","3.017"
"1948-06-30","3.123"
"1948-09-30","3.19"
"1948-12-31","3.091"
"1949-03-31","3.189"
"1949-06-30","3.161"
"1949-09-30","3.233"
"1949-12-31","3.383"
"1950-03-31","3.802"
"1950-06-30","3.792"
"1950-09-30","4.713"
"1950-12-31","4.147"
"1951-03-31","4.379"
"1951-06-30","3.914"
"1951-09-30","4.012"
"1951-12-31","4.124"
"1952-03-31","4.214"
"1952-06-30","4.235"
"1952-09-30","4.305"
"1952-12-31","4.516"
"1953-03-31","4.695"
"1953-06-30","4.693"
"1953-09-30","4.694"
"1953-12-31","4.688"
"1954-03-31","4.75"
"1954-06-30","4.814"
"1954-09-30","4.932"
"1954-12-31","5.054"
"1955-03-31","5.153"
"1955-06-30","5.273"
"1955-09-30","5.424"
"1955-12-31","5.501"
"1956-03-31","5.51"
"1956-06-30","5.68"
"1956-09-30","5.722"
"1956-12-31","5.842"
"1957-03-31","5.733"
"1957-06-30","5.683"
"1957-09-30","5.84"
"1957-12-31","5.764"
"1958-03-31","5.86"
"1958-06-30","5.754"
"1958-09-30","5.908"
"1958-12-31","6.013"
"1959-03-31","6.29"
"1959-06-30","6.374"
"1959-09-30","6.392"
"1959-12-31","6.42"
"1960-03-31","6.359"
"1960-06-30","6.474"
"1960-09-30","6.29"
"1960-12-31","6.335"
"1961-03-31","6.352"
"1961-06-30","6.518"
"1961-09-30","6.679"
"1961-12-31","6.771"
"1962-03-31","6.72"
"1962-06-30","6.834"
"1962-09-30","7.037"
"1962-12-31","7.183"
"1963-03-31","7.275"
"1963-06-30","7.545"
"1963-09-30","7.66"
"1963-12-31","7.779"
"1964-03-31","8.234"
"1964-06-30","8.693"
"1964-09-30","8.953"
"1964-12-31","9.203"
"1965-03-31","9.382"
"1965-06-30","9.823"
"1965-09-30","10.166"
"1965-12-31","10.975"
"1966-03-31","11.51"
"1966-06-30","11.922"
"1966-09-30","12.62"
"1966-12-31","13.06"
"1967-03-31","13.124"
"1967-06-30","13.257"
"1967-09-30","13.582"
"1967-12-31","14.346"
"1968-03-31","14.728"
"1968-06-30","14.934"
"1968-09-30","15.742"
"1968-12-31","15.932"
"1969-03-31","16.41"
"1969-06-30","16.735"
"1969-09-30","16.736"
"1969-12-31","17.048"
"1970-03-31","17.839"
"1970-06-30","17.631"
"1970-09-30","17.934"
"1970-12-31","18.293"
"1971-03-31","18.352"
"1971-06-30","19.036"
"1971-09-30","19.346"
"1971-12-31","20.054"
"1972-03-31","21.191"
"1972-06-30","22.028"
"1972-09-30","22.975"
"1972-12-31","24.171"
"1973-03-31","25.474"
"1973-06-30","25.093"
"1973-09-30","25.537"
"1973-12-31","25.281"
"1974-03-31","25.533"
"1974-06-30","26.619"
"1974-09-30","27.572"
"1974-12-31","26.618"
"1975-03-31","27.786"
"1975-06-30","30.179"
"1975-09-30","31.11"
"1975-12-31","32.374"
"1976-03-31","33.288"
"1976-06-30","33.666"
"1976-09-30","34.273"
"1976-12-31","35.46"
"1977-03-31","35.855"
"1977-06-30","37.305"
"1977-09-30","38.375"
"1977-12-31","39.384"
"1978-03-31","40.046"
"1978-06-30","41.549"
"1978-09-30","41.695"
"1978-12-31","43.514"
"1979-03-31","44.471"
"1979-06-30","46.325"
"1979-09-30","46.431"
"1979-12-31","46.112"
"1980-03-31","45.539"
"1980-06-30","44.638"
"1980-09-30","46.534"
"1980-12-31","49.25"
"1981-03-31","48.531"
"1981-06-30","49.642"
"1981-09-30","51.165"
"1981-12-31","50.175"
"1982-03-31","49.926"
"1982-06-30","51.119"
"1982-09-30","51.534"
"1982-12-31","52.566"
"1983-03-31","54.869"
"1983-06-30","57.204"
"1983-09-30","59.694"
"1983-12-31","62.853"
"1984-03-31","65.816"
"1984-06-30","67.13"
"1984-09-30","67.956"
"1984-12-31","70.472"
"1985-03-31","72.999"
"1985-06-30","73.346"
"1985-09-30","73.706"
"1985-12-31","76.249"
"1986-03-31","77.74"
"1986-06-30","79.625"
"1986-09-30","84.938"
"1986-12-31","89.761"
"1987-03-31","89.772"
"1987-06-30","91.688"
"1987-09-30","93.007"
"1987-12-31","92.742"
"1988-03-31","96.271"
"1988-06-30","99.27"
"1988-09-30","100.197"
"1988-12-31","103.769"
"1989-03-31","100.77"
"1989-06-30","103.641"
"1989-09-30","105.229"
"1989-12-31","105.982"
